rootId:ID,root,transliteration,:LABEL,descriptionTr,descriptionEn,translationTr,translationEn
11,"هدي","hdy","Root","to guide/direct to the way, take/follow right way/course, rightly guided/directed, a way/course/method/mode/manner of conduct. Gift.","","iletir","guide"
12,"صرط","SrT","Root","a path which is even, wide enough and can be trodden without difficulty. A road/way/path, long sword.","","yol","path"
13,"قوم","qwm","Root","Kıpırdamadan veya sağlam duran, yükselmiş / ayakta, yönetti / yürüttü / sıraya koydu / düzenledi / kurallara bağladı / nezaret etti, kurdu, düz / doğrultmak, korumak / dik tutmak / gözlemlemek / yapmak, insan / topluluk / şirket kurmak, mesken, endam / saygınlık / rütbe. <strong>aqama</strong> - bir şeyi veya meseleyi doğru bir şekilde korumak, devam ettirmek. <br><br><strong>Türkçe’ye girmiş türevler : </strong>kavim, kavmi, kavmiyet, akvam, kamet, ikame (ikamet), istikamet (müstakim), kaim (kaymakam), kaime, kavim (akvam), kayme, kayyım, kayyum, kıvam, kıyam, kıyamet, kıymet, makam (kaymakam), mukavemet (mukavim), takvim, ikamet (mukim), ikametgâh <br><br> İbr/Aram #ḳym (yeminli sözleşme, ant)","","kalk","stand"
14,"نعم","nEm","Root","to lead an easy life, enjoy the comforts and conveniences of life, be joyful, comforts/delights, become easy/soft/plentiful/pleasant/good/flourishing, to knead/cook well. in'aam - beneficence, favour to a person, blessing, gifted (with speech/talent/reason etc).","","naim","favor"
15,"غير","gyr","Root","bring, convey, benefit, bestowed upon; alter or change a thing for the worse, corrupted, tainted, infected, render it ill-smelling; adjusting, repairing; difference between two persons; become jealous; procure; other than (exclusively), except, without; lies; [a manãs] dislike of anotherãs participation in what supposedly his right; care of what is sacred or inviolable to avoid suspicion of disdain; cognizance or badge of a free non-Muslim subjects in a Muslim government; one who puts off the furniture of his camel from off him to relieve and ease him. mughiraat - raiders.","","ve","but"
16,"غضب","gDb","Root","anger/wrath/stern, displeasure, indignation, hot tempered, passion, intense/deep redness","","gazab","wrath"
17,"ضلل","Dll","Root","Erred, strayed, or went astray. Deviated from the right way or course. Missed or lost the right way. Lost something but does not know its place. Confounded or perplexed and unable to see the right course.","","boşa","errs"
18,"كتب","ktb","Root","he wrote it, to dictate it, prescribe/appoint/ordain, judged / passed sentence / decreed, drew/brought together, collected, conjoined / bound, he sewed it, what is written (e.g. of law), mode/manner of writing, book, bookseller, a thing in which or on which one writes, record/register/writ, revealed scripture, a writer/scribe/secretary, an army/military force, troop.","","yazı","Book"
19,"ريب","ryb","Root","to make uncertain, cast one into doubt, calamity, suspicion, disturb, cause doubt, cause uneasiness of mind, cause affliction, create evil opinion, make false charge.","","şüphe","doubt"
20,"وقي","wqy","Root","to protect, save, preserve, ward off, guard against evil and calamity, be secure, take as a shield, regard the duty. muttaqii - one who guard against evil and against that which harms and injures and is regardful of his duty towards human beings and God.","","kork","fear"
21,"امن","Amn","Root","güvenli, sağlam, emin, emniyette olmak veya hissetmek; güvenlik/emniyet/selamet/güven durumu, güven, emanet; Kalpte/zihinde sessiz, sakin, huzurlu, dingin olmak; kötülük beklentisinden özgür olmak; veya beğenilmeyen bir nesneden özgür olmak; güvenlik / emniyet vaadi, güvencesi, teminatı; kendine güvenen, güven veren, güvenen hale gelmek; inanmak, kabul etmek, onaylamak <br><br> <strong>Türkçe’ye girmiş türevler:</strong> mümin, emanet, iman, aman, amenna, amentü, âmin, emin (yeddiemin), emniyet, temin, teminat, emanetçi, emaneten, şehremaneti, amanın, amanin, amansız, biaman, elaman <br><br> İbr/Aram āmēn אָמֵן emin ve sadık olma, amin deme","","iman","safe"
22,"غيب","gyb","Root","absent/remote/hidden/concealed, absent from the range or beyond the reach of perception by sense or of mental perception, unseen/invisible, slander, backbite, hidden reality, absent one.","","gayb","unseen"
23,"صلو","Slw","Root","Hayvanın arka orta bölümü, kuyruğunun çıktığı yer, sırtlamak, desteklemek, uyluklamak, yakından takip etmek, arkasından yürümek/takip etmek, (Musalli > önde giden atı izleyen arkadaki at) bağlı kalmak, söylev, nutuk, hitabe, konuşma, dua, yalvarış, istirham, rica, övgü, takdir, methiye, kutsama, lütuf, şükran","","salat","salat"
24,"رزق","rzq","Root","to provide, supply, bestow, grant, means of subsistance. turzaqan - you both shall be supplied. rizq - bounty, gift, portion/share. raziq - one who provides or supplies. razzaq -great provider/supplier.","","rızkı","provides"
25,"نفق","nfq","Root","to be saleable, to come out of a hole, be exhausted (store), consumed, spent, expenditure. To enter into another hole where there is another outlet, so is a hypocrite who professes to believe first one thing and then another, thus entering faith through one door and leaving it through another.","","verir","Spend"
26,"نزل","nzl","Root","to descend, come down, go down, happen, alight at, settle in a place, lodge. anzala - to send down, give. nazulun - that which is prepared for a guest's entertainment, abode, gift. manzil - mansion, station. nazzala - to cause to descend, send down. tanziil - sending down, divine revelation, orderly arrangement and authentic compilation, gradual revelation.","","inen","phases"
27,"قبل","qbl","Root","to accept/admit/receive/agree, meet anyone, to face/encounter someone/something, advance/approach, correspond, counteract/compare/requite/compensate, the front part (12:26), accept with approval, show favour.","","dön","before"
28,"اخر","Axr","Root","go backwards, retreat/recede/retire, hold back/delay/postpone/defer, last/back part of a thing .","","son","other"
29,"يقن","yqn","Root","certainty, surely, of a certainty, to be sure/certain/obvious, to ascertain, one who is certain.","","ölüm","certain"
30,"فلح","flH","Root","cut/slit/crack/split/fissure, furrowed/plough/cultivate, agriculture, till the ground, to prosper be successful, attain/acquire, become fortunate/happy, become independent, permanence/lastingness/duration.","","iflah","succeed"
31,"كفر","kfr","Root","Gizlemek, örtmek, reddetmek, inanmamak, müteşekkir olmamak, şükran duymamak, nankörlük etmek, tanımamak, inkar, imansız, siyah at, karanlık gece, ekici / çiftçi.<br> [[Belki de, kelimenin birincil anlamının, aktif ve bilinçli bir niyetle gizlemek, üstünü örtmek (çiftçilikteki gibi) olduğu dikkate alınmalıdır. Bu da şunu doğurur: bir insanın kendi bilinçli/şuurlu kararıyla bir şeyi reddedip inanmaması. Bir şeyin reddedilebilmesi için önce o şeyin duyulması/görülmesi/deneyimlenmesi gerektiğini lütfen unutmayınız.]] <br><br><strong>Türkçe’ye girmiş türevler : </strong>kâfir, küfür, kefere, küffar, tekfir, kefaret <br><br>Aram #kpr (1. örtme, gizleme, 2. nimeti inkâr etme)","","inkar","deny"
32,"سوي","swy","Root","","","düz","even"
33,"نذر","npr","Root","to dedicate, make a vow, warn, admonish, caution, promise voluntarily, offer present. nadhiir - warner, one who informs and averts calamity, who cautions and put one on guard.","","uyar","Warn"
34,"ختم","xtm","Root","To seal/stamp/imprint/impress, to secure/protect oneself against a thing, produce an impression or effect upon a thing, reach the end of a thing, cover over a thing, turn away/avoid/shun someone or something, to not understand, prevent the heart from believing, feign heedlessness.","","mühürlü","sealed"
35,"قلب","qlb","Root","","","kalb","heart"
36,"سمع","smE","Root","","","kulak","hear"
37,"بصر","bSr","Root","","","göz","see"
38,"غشو","g$w","Root","","","sarar","faints"
39,"عذب","Epb","Root","cezalandırma, azarlamak, ceza, işkence, acı, eziyet, sıkıntı, ağır ceza, kaçınmak/vazgeçmek, bir haktan vazgeçmek, feragat etmek, çıkmak, engel olmak zorluk çıkarmak. Bir şey inkar etmek, biri tarafından konulan engel, erişilemez olmak, önlemek. <b>adhb</b> - lezzetli, tatlı (genellikle su), ör: 25:23, 35:12 <br><br><strong>Türkçe’ye girmiş türevler : </strong>azap, muzip, tazip (muazzep)","","azab","torment"
40,"عظم","EZm","Root","great, important, big, regard, honour, mighty, glorious, a man of moment, All-mighty, All-glorious, grievous, bounty/abounding, magnify/increase. azzama - to make great.","","ulu","great"
41,"نوس","nws","Root","to swing, halt in a place, move, toss. Mankind, people, others, men.","","halk","men"
42,"قول","qwl","Root","konuşmak / söylemek, çağırmak, iletmek, nakletmek, düşünmek, ilan etmek, görüş yaymak, bir durumu, şartı ya da vaziyeti göstermek. kelime / konuşma, söyleyiş, söylenen şey, tebrik, söylem. <br><br><strong>Türkçe’ye girmiş türevler : </strong>kavl, kavlen, kavli, kale al-, kalubela, kaval, kilükal, makale, makule, mukavele","","de","Say"
43,"خدع","xdE","Root","To hide/conceal, double or fold, decieve or outwit, pretend, to enter, vary in state/condition, refrain or refuse, relinquish, to be in little demand of, deviate from the right course, resist/unyield/incompliant, turn away and behave proudly.","","aldatamazlar","deceive you"
44,"نفس","nfs","Root","was or became high in estimation, of high account or excellent, highly prized/precious/valuable and therefore desired with much emulation or much request, desired, it became loved or highly esteemed, console, cheer, envy.","","can","soul"
45,"شعر","$Er","Root","to know/perceive/understand, to acquaint, perceive by senses.","","şiir","A poet"
46,"مرض","mrD","Root","To be diseased/disordered, distempered, to be ill or sick, languid or weak or feeble, deficient in strength, defective or deficient, to be right or nearly right (in judgement or opinion).","","hasta","ill"
47,"زيد","zyd","Root","increased/augmented/grew, exceeded, was/became redundant/superfluous, remain over & above, addition, exaggerate, accessory, surplus.","","daha","add"
48,"الم","Alm","Root","in pain, suffered pain, express pain/grief/sorrow, lament","","acı","painful"
49,"كون","kwn","Root","Olmak, var olmak, vuku bulmak, meydana gelmek, öyle veya böyle (olmak), kaynaklanan. <strong>makaan</strong> - taraf, yan, mesken, amaç, durum, yol, koşul, şart. <strong>makaanatun</strong> - yer, yol, amaç, niyet, koşul, şart, yetenek, beceri, yapabilirlik, olunan veya var olunan yer. <br><br><strong>Türkçe’ye girmiş türevler : </strong>mekân, mekânsal, lamekân, kâinat, tekevvün, tekvin, yekûn, topyekûn","","ve","is"
50,"كذب","kpb","Root","To lie, say what is not a fact, lie to falsely invent, tell lies about or against, fabricate a lie, relate a lie, say a falsehood, be wrong, be cut off, deceive, disappoint the expectation of.","","yalan","lie"
51,"فسد","fsd","Root","to become evil/corrupted, invalid, decomposed, bad/spoiled/tainted, wrong, vicious, make mischief or foul deal. fasad - corruption/violence.","","fesad","corruption"
52,"ارض","ArD","Root","yer, yeryüzü, ülke, toprak. En, genişlik. Dönmek, yeşerip dal budak sarmak. Verimli, bereketli, üretken, bitki yönünden bol arazi. İnişli çıkışlı hareket için yer. Oyalanmak, beklemek, ummak, sabırlı olmak. Cennetin karşıtı olarak dünya, ve yerkürenin toprak yüzeyi anlamında, üzerinde yürüdüğümüz, oturduğumuz, uzandığımız yer. İyi arazi. Kalan, sabit, yerde beklenti içinde oyalanmak. Ağır, yavaş, halsiz, eğimli, veya yere doğru eğilimli olmak. Itaatkâr. Rahat bir durumdan kaynaklanan ürperme, baş dönmesi. <br><br><strong>Türkçe’ye girmiş türevler : </strong>arz, arazi, ardiye <br><br> İbr ereṣ (a.a.). = ülke","","yer","land"
53,"صلح","SlH","Root","to be right/good/honest/upright/sound/righteous, suit, fit. aslaha - to set a thing aright, reform, do good. saalihaat - good works, fit and suiting deeds. aslaha (vb. 4) - to make whole sound, set things right, effect an agreement between, render fit. islaah - uprightness, reconciliation, amendment, reformation. muslihun - reformer, one who is upright, righteous, a person of integrity, peacemaker, suitable.","","iyi","amend"
54,"سفه","sfh","Root","","","beyinsizce","fooled"
55,"لقي","lqy","Root","To meet, meet with, encounter, find, find out a thing, see, come across, experience, suffer from, occur, undergo, endure, lean upon, recieve, come face to face, go in the direction of or towards.","","at","met"
56,"خلو","xlw","Root","To be empty/vacant/void/destitute/unoccupied, to be free from fault or a thing or affair, free of accusation or suspicion, to be alone or without any companion, meet with one in a vacant/unoccupied place, to pass away, to dismiss, let loose or let go a thing, permit or allow a thing, to forsake/relinquish/desert/abandon a thing, to be distant/remote/aloof/far from a thing, be at leisure, unoccupied (unemployed).","","geçen","past"
57,"شطن","$Tn","Root","become distant/far/remote, enter firmly / become firmly fixed therein / penetrate and be concealed, turn away in opposition (from direction/aim), devil, one excessively proud/corrupt, unbelieving/rebellious/insolent/audacious/obstinate/perverse, rope, deep curved well, it burned, became burnt, serpent, any blameable faculty or power of a man.","","şeytan","devil"
58,"هزا","hzA","Root","to bring down disgrace upon, send down contempt. To mock/ridicule/deride/laugh. (e.g. huzuwan, 2:67) .","","alay","mock"
59,"مدد","mdd","Root","to draw a thing (namely a rope), pull a thing, stretch a thing, strain a thing, extend by drawing or pulling, stretch forth, to prolong, expand/elongate/lengthen a thing, spread or spread out, delay or defer a thing, continue a thing, to help or aid someone, to advance, to increase, to supply ink (put ink into a thing), apply ink to a thing, manure land (with dung).","","dikme","ink"
60,"طغي","Tgy","Root","exceed a limit, to transgress, wander from its orbit, exceed the bound, wayward, to rise high, to overflow, to rage, go astray, deviate, be incurious, mischievous, impious, tyrannical, inordinate, rebellious, exorbitant, exceedingly wicked, insolence, injustice, infidelity, rebellion, storm of thunder & lightning of extreme severity, outburst, powers of evil, lead to evil, be overbold, contumacy, extravagantly disobedient, immoderate, corrupt, top or upper part of a mountain, idol/demon, source of wickedness.","","azdı","transgress"
61,"عمه","Emh","Root","to be confounded/perplexed/confused, wander blindly, stumble to and fro, unable to find the right course, mental blindness.","","bocalamaya","wander blindly"
62,"شري","$ry","Root","to buy/sell/barter/purchase, conclude a sale, give or take in exchange, refuse, choose, prefer, give up anything and take another, lay hold on another.","","satar","sell"
63,"ربح","rbH","Root","to gain, be successful or profitable (e.g. in trade).","","kâr","profited"
64,"تجر","tjr","Root","to traffic/trade, be in business, commerce, merchandise, dealt, sold & bought, employed property for the purpose of gain.","","ticaret","trade"
65,"مثل","mvl","Root","Stand erect, mutilate or castrate (namely a sheep or goat), to set up a thing, affect to be like or to imitate a thing, apply a proverb, apply a thing proverbially, be nearly in a sound or healthy state, near to convalescence, obey/follow a command or order, to resemble, be of likeness or equivalent.","","gibi","like"
66,"وقد","wqd","Root","to set fire, kindle, light fire.","","yakan","ignite"
67,"نور","nwr","Root","fire, flame, heat, war, light, shine, sparkle, irritate, vex or provoke war.","","nur","fire"
68,"ضوا","DwA","Root","Brought to light, made visible, discovered, or revealed. One who stood in the dark to see people by the light of their fire, without their seeing him.","","ışık","glow"
69,"حول","Hwl","Root","To be changed, come in between, pass by. To be altered or transmuted or changed, to shift or turn from one thing to another, to be shifted or transferred, to move or remove, to become crooked or uneven, shift from one's way or direction or manner, shift or move from one's place, to be shifted or moved to another place, to withdraw or recede from a covenant/compact/agreement/engagement, leap and seat oneself firmly on the back of his beast or horse, to pass, to revolve and pass, become complete, intervene as a seperation/partition/fence/barrier/obstacle/obstruction, to intervene and prevent conjunction or communication, to pour out or forth, make or pronounce a thing to be absurd/inconsistent/self-contradictory/unreal/impossible, to desire or seek a thing using skill/management/blandishment/artifice, seek or endevour a person to do a thing, almost congealed or freezing, look sharply or intently or cast ones eyes on a person, to strike or desire to strike a person with a whip, reckon a person, esteem a person weak, practice evasion or elusion, practice artifice or artful contrivance or device against a person, to trick or plot, practice strategem.","","girer","plan"
70,"ذهب","phb","Root","to go, go away, depart, take away or go away with, consume, receive, pass along, die, be ended.","","git","Go"
71,"ترك","trk","Root","To leave off, leave alone, abandon/desert/relinquish/quit, forsake, give up anything, neglect, omit, bequeath anything to anyone.","","ve bırak","he left"
72,"ظلم","Zlm","Root","","","zulm","wrong"
73,"صمم","Smm","Root","to be deaf, cork (a bottle), stop (a flask), be obstructed (ear-hole).","","sağır","deaf"
74,"بكم","bkm","Root","dumb (either by natural conformation or from an inability to find words to express himself), no understanding to reply, no ability to frame speech well though possessing the faculty of speech, refrain/cease speaking intentionally or from ignorance, impeded speech, unable to speak freely.","","ve dilsiz","dumb"
75,"عمي","Emy","Root","to swerve from duty, stray from the right course, be or become blind, ignorant, obscure and dubious, deprive of the sight, rend abstruse, blind, dark, conceal. amaha - mental blindness, amaya - mental and physical blindness.","","kör","blind"
76,"رجع","rjE","Root","to return, turn back, turn off, (blame) upon any one, come back, repeat, answer, bring answer, be brought back. raji'un - one who returns. murji'un - return, termination. taraja'a (vb. 6) -to return to one another.","","dön","return"
77,"صوب","Swb","Root","to pour forth, hit the mark, come down. asaaba - to overtake, happen to, befall, fall upon, will, affect injuriously, meet with, send down, pour down upon, afflict or punish, intend, desire. sawaabun - that which is right, straight forward course, rightness. musiibun - that which happens. musiibatun - calamity.","","verir","befell"
78,"رعد","rEd","Root","to thunder/tremor, threaten of war, tremble/quiver/shiver/commotion occasioned by fear or cold, moved to and fro (e.g. a hill or heap of sand shaking and consequently pouring down).","","gök gürültüsü","the thunder"
79,"برق","brq","Root","","","şimşek","is dazzled"
80,"جعل","jEl","Root","He made a thing, he created/brought into being/existence. He made to be/become/constitute. He made to be in a altered state/condition. He pronounced a thing by a true judgement/decision/legal ordinance, his judgement. Described them as females, pronounced them to be females, He made known/plain, He exalted/ennobled/called/named (as in a nation) He inserted a thing into a thing (Ex: They put their fingers into their ears) He put into the heart/mind, He appointed/assigned/stipulated to give wages/pay/stipend. He set about/began/commenced/commenced/took to/betook himself to, doing such a thing; He persisted, a piece of rag with which a cooking pot is put down from the fire, short palm trees/shoots/offsets.","","kıl","Put"
81,"صبع","SbE","Root","to point out (e.g. with finger), to designate, to indicate (to), to direct (to).","","parmaklarını","their fingers"
82,"اذن","Apn","Root","he gave ear or listened to it, being pleased, grant leave, to allow, permit/ordered, be informed, advised, notification/announcement/proclamation, ear, appetite/longing/yearning.","","izni","ears"
83,"صعق","SEq","Root","to smite or strike (lightning, thunderbolt), swoon, become unconscious, be stunned, faint.","","düştü","unconscious"
84,"حذر","Hpr","Root","To beware, take heed of, to be cautious/wary/vigilant, to take care, to be on ones guard, to be in a state of preparation, to fear or be in fear of, to be angry and prepare oneself to do mischief, draw oneself together, to be enraged.","","korkan","Fear"
85,"موت","mwt","Root","To die, to pass away from the earthly life, to be destitute or deprived of life, deprived of sensation, deprived of the intellectual faculty, to be still/quiet/motionless, to be calm/still, to sleep, lifeless, to be assuaged, dried up by the earth, to cease, wear out/be worn out, to be poor/reduced to poverty, abject/base/despicable/vile, disobedient or rebellious, lowly/humble/submissive, to be soft/loose/flabby/relaxed, lack spirit or life.","","ölü","die"
86,"حوط","HwT","Root","To guard/keep, keep safely/protect/take care of a person or thing, defend a person or thing, pay frequent attention to a person or thing, to mind or be regardful of one's things, have compassion or affection for a person, to undertake/superintend/manage one's affairs, retire to a distance, to leave and go against, take care of and preserve (the tie of kindred), draw towards oneself or compress and guard one's possession, to surround/encompass a thing, build a wall around a thing, have within one's compass or power and care a thing or affair, monopolize a thing, endeavour to induce a person to turn or incline, endeavour to turn a person by deceit or guile (namely in a matter that he desired of him and which he refused him), surround/encompass/environ/enclose/hemm in a person or thing, to encircle or beset the sides of a person or thing, to have something or someone in one's grasp or power, to destroy or cause destruction, beset a thing on every side (and leaving no escape), to take a thing entirely to oneself and debar others from it, to comprehend or know a thing altogether or in all its modes or circumstances, to know a thing extrinsically and intrisically, attain the utmost particular of a thing, have a comprehensive and complete knowledge of a thing, to pursue a course or thing by prudence or precaution or good judgement, to use precaution, take the sure course, to seek the most successful means, take the surest method.","","kuşatmıştı","encompasses"
87,"كود","kwd","Root","","","az daha","hardly"
88,"خطف","xTf","Root","To seize/take/carry off a thing by force, take or seize a thing quickly (snatch it away), suddenly take away, move along quickly (quickness in pace or going), cut a thing short (such as a discourse or narrative), barely miss a thing (and also to nearly hit a thing), be lean or lank in the belly (lightness of the flesh of the sides), to be mad or diabolically possessed.","","kapan","snatches"
89,"كلل","kll","Root","1. Tüm, bütün, tamlık, bütünlük 2. babasını ve çocuğunu kaybetmek, doğrudan mirasçısı bulunmamak, bitkin düşmek, yorgun, zayıf olmak; sadece uzak ilişkileri bulunmak <br><br><strong>Türkçe’ye girmiş türevler : </strong>küllî, külli yevmin, külliyat, külliye, külliyen, külliyet, külliyetli <br><br> Aram kāl כָל [#kl] hep, tüm, bütün","","he","All"
90,"مشي","m$y","Root","To walk, to go or go along, to go afoot/on foot, move from place to place, march/travel/trod/pace/step, to go on or continue in a course of action, to pass, to be current, move/be in motion, walk about.","","yürür","walk"
91,"شيا","$yA","Root","irade etmek / dilemek, planlamak, var etmek, meydana getirmek - şey/eşya, herhangi bir mesele, bir şey, istenen veya dilenen, zerre, herhangi bir kapsam. Doğrudan nesnel bir durum söz konusu olduğunda ""azıcık"", ""biraz"", ""hiç"" anlamında kullanılır. Zarf olarak anlamı ""herhangi bir şekilde""dir. <br><br><strong>SK Not:</strong> Kuranda, ""dilediği"" şeklinde ne yazık ki eksik olarak çevrilen ""şae"" fiili; kök Arapçada ""sünnetullah ilkeleri çerçevesinde meydana getirmek, var etmek, oluşturmak"" anlamına geliyor, ve kula nispet edildiğinde ""uzun vadeli, planlı iş yapmak"" anlamındadır."" <br><br><strong>Türkçe’ye girmiş türevler : </strong>şey, beleş (tebelleş), eşya, inşallah (maşallah), mafiş","","şey","any"
92,"قدر","qdr","Root","to measure/decree/determine/stint/straiten, to have power, to be able, a measure, means, ability, a term/decree, doom, destiny, measured, decreed.","","kadir","able"
93,"خلق","xlq","Root","To measure or proportion a thing, to form or make according to proper measure, bring into existence according to a certain measure, originate or produce after a pattern or model which one has devised, bring into existence from a state of non-existence (create out of nothing), to fabricate or forge a speech or saying, to make a thing equitable or even, make a thing smooth, to be probable or likely to happen (or likely to be or happen, or to have happened or been), act towards someone according to that person's nature, wear out a thing and make it old, to be fit/ competent/ suitable/ proper, to be complete or perfect in respect of make or proportion, have an innate/natural disposition/temperament/quality.","","nasibi","share"
94,"فرش","fr$","Root","to spread out, extend, stretch forth, furnish. furshan - to low (carry burden), be thrown down (for slaughter) of small animals of which flesh is used for food. farashun (gen. n.) moths. firashun (plu. furushun) - carpet, thing that is spread out to lie upon, bed. Wife/spouse (metaphorically).","","döşek","couches"
95,"بني","bny","Root","","","ve","son"
96,"موه","mwh","Root","water, rain","","su","water"
97,"خرج","xrj","Root","To go out, go forth, depart, evade/escape/extricate oneself from, to quit/forsake, to rebel, to be foul or obscene, conspicuous, be clear (as in clear sky as opposed to cloudy), to resolve/explain/render, educate/discipline/train well, render a thing of two mixtures (such as two colors, black and white, or to write upon part of a tablet and leave part of it blank), make a thing to be of different kinds, contribute to a thing or cause, make an agreement, extort/extract/produce/elicit, to exclude something or someone, to vent, surpass or excel, outstrip others, be external/extrinsic/objective.","","çık","raised"
